Wall time,Step,Value
1485536745.1341276,4752,0.9375
1485536747.5075479,4760,0.96875
1485536748.3998652,4763,0.96875
1485536748.6984105,4764,0.9375
1485536749.2853312,4766,1.0
1485536750.1662345,4769,0.96875
1485536750.4581523,4770,1.0
1485536752.8705177,4778,0.96875
1485536753.8132024,4781,0.96875
1485536754.1202245,4782,0.96875
1485536754.715412,4784,0.9375
1485536755.3142486,4786,0.9375
1485536756.2280972,4789,0.90625
1485536756.523335,4790,0.96875
1485536758.3975725,4796,0.96875
1485536760.2373233,4802,1.0
1485536760.838752,4804,0.96875
1485536761.7263105,4807,0.90625
1485536767.8646622,4827,1.0
1485536768.4745333,4829,0.9375
1485536772.391757,4842,0.96875
1485536776.0877004,4854,1.0
1485536781.7416036,4873,1.0
1485536782.3400562,4875,0.96875
1485536787.116103,4891,0.9375
1485536788.0303063,4894,0.96875
1485536788.6449656,4896,0.96875
1485536788.9465735,4897,0.9375
1485536794.6161532,4916,1.0
1485536809.1097791,4940,1.0
1485536809.7919276,4943,0.96875
1485536812.7908885,4956,1.0
1485536814.6173592,4964,1.0
1485536816.4568505,4972,0.9375
1485536816.6847785,4973,0.96875
1485536817.3731332,4976,0.96875
1485536817.8469455,4978,0.96875
1485536818.0764165,4979,1.0
1485536821.273902,4993,0.96875
1485536823.0982647,5001,1.0
1485536828.1160936,5023,1.0
1485536829.4943957,5029,0.9375
1485536830.1858256,5032,1.0
1485536831.7843418,5039,1.0
1485536834.731265,5052,0.96875
1485536835.1980548,5054,1.0
1485536835.4327447,5055,0.96875
1485536837.0475962,5062,1.0
1485536841.183566,5080,1.0
1485536844.893797,5096,1.0
1485536846.4931467,5103,1.0
1485536847.6332989,5108,1.0
1485536847.8622718,5109,1.0
1485536849.2231927,5115,1.0
1485536852.2033632,5128,0.9375
1485536852.6589046,5130,0.96875
1485536853.9983835,5136,0.9375
1485536859.9737997,5162,0.96875
1485536861.1207645,5167,0.96875
1485536864.0817661,5180,0.96875
1485536864.9859798,5184,0.96875
1485536869.100305,5202,1.0
1485536870.9274929,5210,1.0
1485536876.2123952,5233,0.96875
1485536876.922012,5236,0.9375
1485536877.1602302,5237,1.0
1485536877.6572087,5239,0.96875
1485536878.1462011,5241,0.96875
1485536878.3692412,5242,1.0
1485536879.28384,5246,1.0
1485536883.4945512,5264,0.96875
1485536884.4084933,5268,0.9375
1485536889.6293528,5291,1.0
1485536892.6055636,5304,0.9375
1485536896.2870376,5320,1.0
1485536898.8351135,5331,0.9375
1485536899.081936,5332,0.9375
1485536902.5569575,5347,0.96875
1485536903.245149,5350,0.96875
1485536905.817526,5361,0.96875
1485536906.054195,5362,0.9375
1485536906.7718303,5365,0.90625
1485536910.6687348,5382,0.96875
1485536911.5878434,5386,0.96875
1485536916.1757448,5406,1.0
1485536916.6440895,5408,1.0
1485536919.8561423,5422,0.96875
1485536920.9949462,5427,0.96875
1485536924.1790512,5441,1.0
1485536924.4110842,5442,0.90625
1485536924.870345,5444,0.96875
